FarmerID,Gender,Age,HaveHandPhone,isTrained,FarmSize (Hectare),FarmProduction (Kg),SalesQuota (Kg),Sales Last Year (Kg),Number of Farm,Number Of Trees,FarmerStatus
731103298101,Male,43,Yes,1,"1,21",370,396,,1,800,Bad
731103301101,Male,50,Yes,1,"1,82",406,"466,4",,2,784,Bad
731103304101,Female,41,Yes,1,"1,19",460,"467,5",,2,850,Bad
731103305101,Female,54,Yes,1,"1,08",190,209,,1,750,Bad
731103306101,Male,62,Yes,1,"1,67",298,"346,5",,2,1750,Bad
731103307101,Female,46,Yes,1,"1,35",498,"553,3",,2,1080,Bad
731103315101,Female,50,Yes,1,"1,36",238,"280,5",,2,900,Bad
731103319101,Male,62,Yes,1,"2,02",460,528,,3,1400,Bad
731103364101,Female,39,Yes,1,"1,15",660,715,,1,700,Bad
731103391101,Female,47,Yes,1,"1,56",690,759,,1,750,Bad
731103405101,Male,36,Yes,1,"1,1",686,781,,1,680,Bad
731103422101,Male,63,Yes,1,"1,65",502,"563,2",,2,900,Bad
731103426101,Female,48,No,1,"1,7",761,341,,2,1200,Bad
731103429101,Female,64,Yes,1,"1,25",192,220,,1,750,Bad
731104142101,Male,48,Yes,1,"1,8",530,594,,1,1300,Bad
731104143101,Female,32,Yes,1,"1,65",390,440,,1,1200,Bad
731104155101,Male,43,Yes,1,"1,45",530,594,,1,1000,Bad
731104170101,Male,38,Yes,1,"1,3",490,550,,1,870,Bad
731104171101,Male,63,Yes,1,"1,18",422,"469,7",,1,850,Bad
731104173101,Female,63,Yes,1,"1,55",936,"1040,6",,3,1360,Good
731104177101,Male,63,Yes,1,"1,14",304,"350,9",,3,340,Bad
731104183101,Male,68,Yes,1,"1,09",426,"502,7",,3,790,Bad
731104294101,Male,62,Yes,1,"1,4",760,858,,2,1210,Bad
731104326101,Male,49,Yes,1,"1,21",652,"585,2",,2,1000,Bad
731104327101,Female,56,Yes,1,"1,33",630,693,,2,1000,Bad
731104336101,Female,38,Yes,1,"1,56",920,1034,,2,1300,Good
731104341101,Male,55,Yes,1,"1,16",640,726,,2,950,Bad
731104342101,Male,50,Yes,1,"1,1",522,594,,2,950,Bad
731104352101,Male,54,Yes,1,"1,2",300,341,,2,600,Bad
731104353101,Male,46,Yes,1,"1,37",570,"610,5",,3,935,Bad
731104361101,Male,53,Yes,1,"1,41",810,891,,5,1160,Bad
731104362101,Male,50,Yes,1,"3,96",1204,1540,,2,1600,Good
731104368101,Male,46,Yes,1,"1,32",450,440,,1,900,Bad
731104376101,Male,52,Yes,1,"1,25",560,737,,1,900,Bad
731104393101,Male,40,Yes,1,"1,29",730,869,,5,1140,Bad
731104398101,Male,80,Yes,1,"1,29",300,396,,1,800,Bad
731104401101,Female,60,Yes,1,"1,18",210,242,,1,800,Bad
731104404101,Female,51,Yes,1,"1,29",660,726,,1,1550,Bad
731104407101,Female,80,Yes,1,"1,51",350,"412,5",,2,1150,Bad
731104410101,Male,58,Yes,1,"1,83",580,748,,1,1300,Bad
731104411101,Male,40,Yes,1,"1,21",390,506,,1,810,Bad
731104417101,Female,41,Yes,1,"1,95",360,"412,5",,1,1400,Bad
731104419101,Male,43,Yes,1,"2,35",640,825,,1,1550,Bad
731104421101,Male,66,Yes,1,"1,46",430,550,,1,900,Bad
731104423101,Male,62,Yes,1,"1,47",370,"423,5",,2,900,Bad
720401733101,Male,52,Yes,1,2,1240,1690,,1,1530,Good
720401751101,Male,43,Yes,1,2,1500,1950,,2,1575,Good
720401752101,Male,49,Yes,1,2,1360,1820,,1,1525,Good
720401769101,Male,49,Yes,1,"1,8",830,1092,"85,36",1,900,Good
720401770101,Male,40,Yes,1,3,1645,2535,"414,55",2,800,Good
720401791101,Male,48,Yes,1,"1,3",920,1235,"7,34",1,1100,Good
720401879101,Male,43,Yes,1,"1,25",849,"1163,5",,2,1090,Good
720401896101,Male,64,Yes,1,"1,5",1105,1677,,3,1225,Good
720401902101,Male,60,Yes,1,"1,25",735,"1007,5",,2,750,Good
720401918101,Male,85,Yes,1,"1,25",875,1170,,1,678,Good
720401920101,Male,59,Yes,1,"1,75",1075,1404,,2,1140,Good
720401921101,Male,35,Yes,1,"1,95",1317,"1744,6",,2,1350,Good
720401922101,Male,29,Yes,1,"1,25",600,832,,2,784,Bad
720401923101,Male,71,Yes,1,"1,5",964,1326,,2,1114,Good
720401933101,Male,43,Yes,1,"4,15",1650,2210,,1,1850,Good
720401934101,Male,42,Yes,1,"2,95",1793,"2416,7",,2,1530,Good
720401936101,Male,56,Yes,1,"1,5",975,"1293,5",,1,1080,Good
720401937101,Male,33,Yes,1,"3,07",1790,2483,"352,8",4,2380,Good
720401942101,Male,48,Yes,1,"1,76",1295,1716,,1,1250,Good
720401952101,Male,52,Yes,1,"2,44",1092,1495,,2,1725,Good
720401957101,Male,37,Yes,1,"1,5",930,1248,,1,1200,Good
720401959101,Male,38,Yes,1,"1,1",645,897,,2,875,Bad
720401967101,Male,57,Yes,1,2,1175,1560,,1,1512,Good
720401995101,Male,38,Yes,1,"1,5",810,1066,,1,1500,Good
720402000101,Male,45,Yes,1,"1,5",625,871,,2,1000,Bad
720402003101,Male,52,Yes,1,2,500,663,,1,1100,Bad
720402085101,Male,40,Yes,1,2,370,494,"25,74",1,900,Bad
720402115101,Male,52,Yes,1,2,1410,1846,,1,1660,Good
720402141101,Male,42,Yes,1,"1,5",1110,1456,,1,1280,Good
720402198101,Male,47,Yes,1,2,1110,"1488,5",,1,1430,Good
720402210101,Male,54,Yes,1,2,1190,1586,,1,1525,Good
720402211101,Male,58,Yes,1,2,1172,1560,,1,1500,Good
720402217101,Male,71,Yes,1,"1,2",705,936,,1,900,Bad
720402227101,Male,55,Yes,1,"2,5",1525,2054,,2,1975,Good
